NomDeNaissance;Prenom;Sexe;DateDeNaissance;TypeMandat;DateDebutMandat;DateFinMandat;MotifFinMandat;TypeFonction;DateDebutFonction;DateFinFonction;MotifFinFonction;Mandature;NuancePolitique;NomTerritoire;TypeTerritoire
DEFFERRE;GASTON;M;14/09/1910;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;SOC;MARSEILLE;Commune
BAGNANINCHI;JOSEPH;M;NA;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;SOC;SAINT MARTIN DE CRAU;Commune
COURTAT;ROBERT;M;26/04/1922;CONSEILLER MUNICIPAL;08/03/1959;05/06/1964;DM;M;08/03/1959;05/06/1964;DM;1959;SOC;AULNAY SOUS BOIS;Commune
KERAUTRET;PIERRE;M;1899-05-11;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;SOC;ROMAINVILLE;Commune
TOUTAIN;ANDRE;M;01/03/1905;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;SOC;SEVRAN;Commune
SOUNY;JEAN;M;1897-11-20;CONSEILLER MUNICIPAL;07/03/1964;10/03/1965;FM;M;07/03/1964;10/03/1965;FM;1959;DROITE;FONTAINE LES DIJON;Commune
CADOT;MAURICE;M;1899-08-05;CONSEILLER MUNICIPAL;10/06/1964;10/03/1965;FM;M;10/06/1964;10/03/1965;FM;1959;SOC;AULNAY SOUS BOIS;Commune
FROUSSART;JEAN;M;16/05/1908;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;CENTRE;CHEVIGNY SAINT SAUVEUR;Commune
ANTHONIOZ;MARCEL;M;26/04/1911;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;CNI;DIVONNE LES BAINS;Commune
RUET;ROLAND;M;29/10/1921;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;CNI;FERNEY VOLTAIRE;Commune
BAILLY;HENRI;M;1891-05-14;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;CNI;CHENOVE;Commune
MARTIN;ROGER;M;NA;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;COM;BERRE L ETANG;Commune
LOMBARD;PAUL;M;15/12/1927;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;10/12/1968;10/03/1971;FM;1965;COM;MARTIGUES;Commune
TURCAN;FRANCIS;M;23/02/1912;CONSEILLER MUNICIPAL;14/03/1965;08/12/1968;DC;M;14/03/1965;08/12/1968;DC;1965;COM;MARTIGUES;Commune
KARMAN;ANDRE;M;10/03/1924;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;COM;AUBERVILLIERS;Commune
SOLBES;LOUIS;M;27/03/1924;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;COM;AULNAY SOUS BOIS;Commune
HOUDREMONT;JEAN;M;04/10/1924;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;COM;LA COURNEUVE;Commune
GREGOIRE;ANDRE;M;01/01/1911;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;COM;MONTREUIL;Commune
LOLIVE;JEAN;M;06/06/1910;CONSEILLER MUNICIPAL;14/03/1965;06/09/1968;DC;M;14/03/1965;06/09/1968;DC;1965;COM;PANTIN;Commune
LAINAT;FERNAND;M;01/11/1924;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;10/09/1968;10/03/1971;FM;1965;COM;PANTIN;Commune
GILLOT;AUGUSTE;M;07/02/1905;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;COM;SAINT DENIS;Commune
DECHAMPS;ANDRE;M;NA;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;COM;CLICHY SOUS BOIS;Commune
SOUNY;JEAN;M;1897-11-20;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;DROITE;FONTAINE LES DIJON;Commune
DELEUIL;LAURENS;M;08/11/1918;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;1965;DVD;MARIGNANE;Commune
