"Id","NomDeNaissance","Prenom","Sexe","DateDeNaissance","TypeMandat","DateDebutMandat","DateFinMandat","MotifFinMandat","TypeFonction","DateDebutFonction","DateFinFonction","MotifFinFonction","Mandature","NuancePolitique","NomTerritoire","TypeTerritoire"
"031","BAGNANINCHI","JOSEPH","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"SOC","SAINT MARTIN DE CRAU","Commune"
"055","COURTAT","ROBERT","M",1922-04-26,"CONSEILLER MUNICIPAL",1959-03-08,1964-06-05,"DM","M",1959-03-08,1964-06-05,"DM",1959,"SOC","AULNAY SOUS BOIS","Commune"
"033","KERAUTRET","PIERRE","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"SOC","ROMAINVILLE","Commune"
"056","TOUTAIN","ANDRE","M",1905-03-01,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"SOC","SEVRAN","Commune"
"057","SOUNY","JEAN","M",NA,"CONSEILLER MUNICIPAL",1964-03-07,1965-03-10,"FM","M",1964-03-07,1965-03-10,"FM",1959,"DROITE","FONTAINE LES DIJON","Commune"
"058","CADOT","MAURICE","M",NA,"CONSEILLER MUNICIPAL",1964-06-10,1965-03-10,"FM","M",1964-06-10,1965-03-10,"FM",1959,"SOC","AULNAY SOUS BOIS","Commune"
"002","FROUSSART","JEAN","M",1908-05-16,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"CENTRE","CHEVIGNY SAINT SAUVEUR","Commune"
"003","ANTHONIOZ","MARCEL","M",1911-04-26,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"CNI","DIVONNE LES BAINS","Commune"
"040","RUET","ROLAND","M",1921-10-29,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"CNI","FERNEY VOLTAIRE","Commune"
"041","BAILLY","HENRI","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"CNI","CHENOVE","Commune"
"004","MARTIN","ROGER","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"COM","BERRE L ETANG","Commune"
"059","LOMBARD","PAUL","M",1927-12-15,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1968-12-10,1971-03-10,"FM",1965,"COM","MARTIGUES","Commune"
"042","TURCAN","FRANCIS","M",1912-02-23,"CONSEILLER MUNICIPAL",1965-03-14,1968-12-08,"DC","M",1965-03-14,1968-12-08,"DC",1965,"COM","MARTIGUES","Commune"
"005","KARMAN","ANDRE","M",1924-03-10,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"COM","AUBERVILLIERS","Commune"
"060","SOLBES","LOUIS","M",1924-03-27,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"COM","AULNAY SOUS BOIS","Commune"
"043","HOUDREMONT","JEAN","M",1924-10-04,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"COM","LA COURNEUVE","Commune"
"006","GREGOIRE","ANDRE","M",1911-01-01,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"COM","MONTREUIL","Commune"
"045","LOLIVE","JEAN","M",1910-06-06,"CONSEILLER MUNICIPAL",1965-03-14,1968-09-06,"DC","M",1965-03-14,1968-09-06,"DC",1965,"COM","PANTIN","Commune"
"061","LAINAT","FERNAND","M",1924-11-01,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1968-09-10,1971-03-10,"FM",1965,"COM","PANTIN","Commune"
"007","GILLOT","AUGUSTE","M",1905-02-07,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"COM","SAINT DENIS","Commune"
"062","DECHAMPS","ANDRE","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"COM","CLICHY SOUS BOIS","Commune"
"057","SOUNY","JEAN","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"DROITE","FONTAINE LES DIJON","Commune"
"009","DELEUIL","LAURENS","M",1918-11-08,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"DVD","MARIGNANE","Commune"
"063","HOUYOUX","MAURICE","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"DVD","LE BOURGET","Commune"
"064","SERELLE","MARIUS","M",1905-09-07,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"DVD","NOISY LE GRAND","Commune"
