NomDeNaissance;Prenom;Sexe;DateNaissance;CommuneDeNaissance;DepartementDeNaissance;PaysDeNaissance;DateDeces;CommuneDeDeces;Nationalite;LibelleProfession;Sources;Divers
SIFFRE;JACQUES;M;04/04/1937;FOIX;ARIEGE;France;NON;NA;Français;Medecin;WIKIPEDIA;
SIMONPIERI;DANIEL;M;NA;NA;NA;NA;NON;NA;Français;Banquier-e;WIKIPEDIA;
SLISSA;MONIQUE;F;01/01/1948;NA;NA;NA;NON;NA;Français;Ingénieur-e;PRESSE;
SUMEIRE;FERNAND;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
TACHE;EMMANUEL;M;20/02/1975;MONTREUIL;SEINE SAINT DENIS;France;NA;NA;Français;Presse;NA;
TAPIE;BERNARD;M;26/01/1943;PARIS;PARIS;France;03/10/2021;PARIS;Français;Chef-fe entreprise;WIKIPEDIA;
TARDITO;JEAN;M;19/12/1933;LA CIOTAT;BOUCHES DU RHONE;France;31/01/2019;AUBAGNE;Français;Instituteur-ice;WIKIPEDIA;
TASSY;MARCEL;M;27/12/1932;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;Direction politique journal;WIKIPEDIA;
TEISSIER;GUY;M;04/04/1945;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;Notaire;WIKIPEDIA;
TIAN;DOMINIQUE;M;14/12/1959;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;Chef-fe entreprise;WIKIPEDIA;
TOESCHI;PAOLO;M;01/01/1955;NA;NA;NA;NON;NA;Français;Directeur territorial;WIKIPEDIA;
TOGA;MAURICE;M;22/03/1927;MARSEILLE;BOUCHES DU RHONE;France;02/08/1989;MARSEILLE;Français;President-e université;WIKIPEDIA;
VACHET;LEON;M;29/12/1932;CHATEAURENARD;BOUCHES DU RHONE;France;11/11/2010;AVIGNON;Français;NA;WIKIPEDIA;
VALLET;ANDRE;M;29/01/1935;NA;NA;NA;NON;NA;Français;Directeur-ice école;WIKIPEDIA;
VAUZELLE;MICHEL;M;15/08/1944;MONTELIMAR;DROME;France;NON;NA;Français;Avocat;WIKIPEDIA;
VAXES;MICHEL;M;14/11/1940;MARSEILLE;BOUCHES DU RHONE;France;18/09/2016;PORT DE BOUC;Français;Psychologue;WIKIPEDIA;
VIDAL;YVES;M;27/11/1946;PERNES LES FONTAINES;VAUCLUSE;France;NON;NA;Français;Cadre;WIKIPEDIA;
VIGOUROUX;ROBERT;M;21/03/1923;PARIS;PARIS;France;08/07/2017;GARDANNE;Français;Neurochirurgien;WIKIPEDIA;
ZULESI;JEAN MARC;M;06/06/1988;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;Ingénieur-e;WIKIPEDIA;
VALETTE;HONORE;M;NA;NA;NA;NA;NA;NA;NA;Colonel;WIKIPEDIA;
ANDRE;JEAN;M;NA;NA;NA;NA;NA;NA;NA;SNCF;WIKIPEDIA;
SAINT MICHEL;ANTONIN;M;NA;NA;NA;NA;NA;NA;NA;NA;WIKIPEDIA;
REYNAUD;JEAN;M;NA;NA;NA;NA;NA;NA;NA;NA;WIKIPEDIA;
FABRE;CHARLES;M;01/01/1946;NA;NA;NA;NON;NA;Français;SNCF;WIKIPEDIA;
LIMOUSIN;LUCIEN;M;19/10/1947;PAMIERS;ARIEGE;France;NON;NA;Français;Policier-e;WIKIPEDIA;
PERRIN;JEAN CLAUDE;M;NA;NA;NA;NA;NON;NA;NA;NA;NA;
GABELIER;ANTONIN;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
NAL;ELIE;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
