"Id","NomDeNaissance","Prenom","Sexe","DateDeNaissance","TypeMandat","DateDebutMandat","DateFinMandat","MotifFinMandat","TypeFonction","DateDebutFonction","DateFinFonction","MotifFinFonction","NuancePolitique","IdTerritoire","NomTerritoire","TypeTerritoire","Sources"
"bdr_105","LEXCELLENT","MARIE ROSE","F",1947-02-10,"CONSEILLER MUNICIPAL",2014-03-23,2020-03-10,"FM","1er ADJOINT",2014-03-23,2020-03-10,"FM","DVG",NA,"SAINT MARTIN DE CRAU","Commune","PRESSE"
"bdr_105","LEXCELLENT","MARIE ROSE","F",1947-02-10,"CONSEILLER MUNICIPAL",2020-03-15,NA,NA,"M",2020-03-15,NA,NA,"DVG",NA,"SAINT MARTIN DE CRAU","Commune","WIKIPEDIA"
"bdr_116","MARTIN","RAYMOND","M",NA,"CONSEILLER MUNICIPAL",1953-04-26,1959-03-01,"FM","M",1953-04-26,1959-03-01,"FM",NA,NA,"CABRIES","Commune","WIKIPEDIA"
"bdr_116","MARTIN","RAYMOND","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",NA,NA,"CABRIES","Commune","WIKIPEDIA"
"bdr_116","MARTIN","RAYMOND","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",NA,NA,"CABRIES","Commune","WIKIPEDIA"
"bdr_116","MARTIN","RAYMOND","M",NA,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",NA,NA,"CABRIES","Commune","WIKIPEDIA"
"bdr_116","MARTIN","RAYMOND","M",NA,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",NA,NA,"CABRIES","Commune","WIKIPEDIA"
"bdr_116","MARTIN","RAYMOND","M",NA,"CONSEILLER MUNICIPAL",1983-03-06,1989-03-10,"FM","M",1983-03-06,1989-03-10,"FM",NA,NA,"CABRIES","Commune","WIKIPEDIA"
"bdr_116","MARTIN","RAYMOND","M",NA,"CONSEILLER MUNICIPAL",1989-03-19,1993-06-01,"DC","M",1989-03-19,1993-06-01,"DC",NA,NA,"CABRIES","Commune","WIKIPEDIA"
"bdr_126","MATTEODA","MARCEL","M",NA,"CONSEILLER MUNICIPAL",1989-03-19,1995-06-10,"FM","M",1993-06-02,1995-06-10,"FM",NA,NA,"CABRIES","Commune","WIKIPEDIA"
"bdr_037","CHARPIN","PIERRE","M",NA,"CONSEILLER MUNICIPAL",1995-06-18,2001-03-10,"FM","M",1995-06-18,2001-03-10,"FM","IND",NA,"CABRIES","Commune","WIKIPEDIA"
"bdr_065","FABRE AUBRESPY","HERVE","M",1956-07-20,"CONSEILLER MUNICIPAL",2001-03-11,2008-03-01,"FM","M",2001-03-11,2008-03-01,"FM","DROITE",NA,"CABRIES","Commune","WIKIPEDIA"
"bdr_065","FABRE AUBRESPY","HERVE","M",1956-07-20,"CONSEILLER MUNICIPAL",2008-03-09,2014-03-20,"FM",NA,NA,NA,NA,"DROITE",NA,"CABRIES","Commune","WIKIPEDIA"
"bdr_065","FABRE AUBRESPY","HERVE","M",1956-07-20,"CONSEILLER MUNICIPAL",2014-03-23,2020-03-10,"FM","M",2014-03-23,2020-03-10,"FM","DROITE",NA,"CABRIES","Commune","WIKIPEDIA"
"bdr_065","FABRE AUBRESPY","HERVE","M",1956-07-20,"CONSEILLER MUNICIPAL",2020-03-15,NA,NA,NA,NA,NA,NA,"DROITE",NA,"CABRIES","Commune","WIKIPEDIA"
"bdr_065","FABRE AUBRESPY","HERVE","M",1956-07-20,"CONSEILLER REGIONAL",2021-07-02,NA,NA,NA,NA,NA,NA,"DROITE",NA,"BOUCHES DU RHONE","Departement","WIKIPEDIA"
"bdr_065","FABRE AUBRESPY","HERVE","M",1956-07-20,"REPRESENTANT EUROPEEN",1994-07-19,1999-07-19,"FM",NA,NA,NA,NA,NA,NA,NA,NA,"WIKIPEDIA"
